"Estaciones","CO","NO","NO2","OZONO","PM2.5"
"Bolivia",0.4839,23.273,21.217,2.772,7.8
"Carvajal Sevillana",1.19106,50.137,19.076,5.134,26
"Centro de Alto Rendimiento",0.73018,37.082,12.33,2.219,22
"Colina",0.5025,16.631,15.367,1.728,3.9
"Fontibon",0.90755,42.237,21.646,6.488,20.9
"Guaymaral",0.10093,5.915,3.268,13.448,6
"Kennedy",1.4023,60.127,28.417,8.247,17
"Las Ferias",0.78732,20.681,11.314,8.834,19
"MinAmbiente",1.24005,39.562,17.77,2.858,8
"Movil Fontibon",1.22863,47.189,22.375,3.824,21.6
"Puente Aranda",1.5308,48.561,21.919,1.614,3.2
"San Cristobal",1.16613,32.589,19.939,1.303,14
"Suba",0.35339,7.93,7.067,6.425,8
"Tunal",1.10319,25.26,10.991,9.489,14
"Usaquen",0.26834,3.612,4.259,15.094,8
